asset,timesteps,seed,sharpe,max_drawdown,mdd_start,mdd_end,avg_turnover,model_path,timeseries_path
EURUSD,100000,42,-28.74636370301275,-0.9956079488265914,2019-01-09 07:00:00+00:00,2021-12-31 17:30:00+00:00,0.2976379649330712,data/model/baseline/ppo_baseline_EURUSD.zip,data/model/baseline/ppo_baseline_timeseries_EURUSD.csv
BTCUSDT,100000,42,-5.073845155957999,-0.9999674976703118,2019-01-06 17:30:00+00:00,2021-12-30 15:30:00+00:00,0.37025965315703746,data/model/baseline/ppo_baseline_BTCUSDT.zip,data/model/baseline/ppo_baseline_timeseries_BTCUSDT.csv
