time,reward,position,bar_return,cost,strategy_ret,equity
2019-01-09 01:30:00+00:00,-0.0005,-1,8.728593125359094e-05,0.0002,-0.0005,0.9995
2019-01-09 02:00:00+00:00,0.0005934925289762183,-1,-0.0005934925289762183,0.0,0.0005934925289762183,1.0000931957827117
2019-01-09 02:30:00+00:00,-0.0010785971285848356,1,7.859712858483553e-05,0.0004,-0.0010785971285848356,0.9990144981334232
2019-01-09 03:00:00+00:00,0.00032309613419839977,1,0.00032309613419839977,0.0,0.00032309613419839977,0.9993372758557784
2019-01-09 03:30:00+00:00,-0.00010475408977416586,1,-0.00010475408977416586,0.0,-0.00010475408977416586,0.9992325911890687
2019-01-09 04:00:00+00:00,-5.2382532171754486e-05,1,-5.2382532171754486e-05,0.0,-5.2382532171754486e-05,0.9991802488557137
2019-01-09 04:30:00+00:00,0.0005587762799468936,1,0.0005587762799468936,0.0,0.0005587762799468936,0.9997385670781656
2019-01-09 05:00:00+00:00,-0.00013961605584636823,1,-0.00013961605584636823,0.0,-0.00013961605584636823,0.9995989875225526
2019-01-09 05:30:00+00:00,0.00021818054876778913,1,0.00021818054876778913,0.0,0.00021818054876778913,0.999817080578198
2019-01-09 06:00:00+00:00,0.0002006823198875764,1,0.0002006823198875764,0.0,0.0002006823198875764,1.0000177261893917
2019-01-09 06:30:00+00:00,-0.0003925605415591296,1,-0.0003925605415591296,0.0,-0.0003925605415591296,0.9996251586892301
2019-01-09 07:00:00+00:00,0.0006545245097611671,1,0.0006545245097611671,0.0,0.0006545245097611671,1.000279437856166
2019-01-09 07:30:00+00:00,-1.7442570337085502e-05,1,-1.7442570337085502e-05,0.0,-1.7442570337085502e-05,1.0002619904117143
2019-01-09 08:00:00+00:00,-0.0006918716204431441,0,-0.00019187162044314405,0.0002,-0.0006918716204431441,0.9995699375275404
2019-01-09 08:30:00+00:00,-0.0,0,-5.23386660618198e-05,0.0,-0.0,0.9995699375275404
2019-01-09 09:00:00+00:00,-0.0005,1,0.0004361783795100364,0.0002,-0.0005,0.9990701525587767
2019-01-09 09:30:00+00:00,-0.0006627020805356306,1,-0.0006627020805356306,0.0,-0.0006627020805356306,0.998408066690075
2019-01-09 10:00:00+00:00,-0.0002617663996651039,1,-0.0002617663996651039,0.0,-0.0002617663996651039,0.9981467170050609
2019-01-09 10:30:00+00:00,-0.00047130289065771625,1,-0.00047130289065771625,0.0,-0.00047130289065771625,0.9976762875720359
2019-01-09 11:00:00+00:00,-0.00040166954820899475,1,-0.00040166954820899475,0.0,-0.00040166954820899475,0.997275551388348
