time,reward,position,bar_return,cost,strategy_ret,equity
2019-01-06 03:30:00+00:00,-0.0007,-1,0.0011707736663534806,0.0004,-0.0007,0.9993
2019-01-06 04:00:00+00:00,0.001580419765853927,-1,-0.001580419765853927,0.0,0.001580419765853927,1.0008793134720178
2019-01-06 04:30:00+00:00,-0.0007197511944948426,-1,0.0007197511944948426,0.0,-0.0007197511944948426,1.000158929390601
2019-01-06 05:00:00+00:00,-0.0037500995249343423,-1,0.0037500995249343423,0.0,-0.0037500995249343423,0.9964082338646345
2019-01-06 05:30:00+00:00,0.00043166738497584623,0,-0.0011316673849758462,0.0004,0.00043166738497584623,0.9968383508013152
2019-01-06 06:00:00+00:00,-0.0,0,-0.00025411951558468304,0.0,-0.0,0.9968383508013152
2019-01-06 06:30:00+00:00,-0.0,0,-0.0012100222675870682,0.0,-0.0,0.9968383508013152
2019-01-06 07:00:00+00:00,-0.0007,-1,-0.00282857309488832,0.0004,-0.0007,0.9961405639557542
2019-01-06 07:30:00+00:00,-0.0016987677951907784,-1,0.0016987677951907784,0.0,-0.0016987677951907784,0.9944483524462231
2019-01-06 08:00:00+00:00,0.00032113037893385677,-1,-0.00032113037893385677,0.0,0.00032113037893385677,0.9947677000224743
2019-01-06 08:30:00+00:00,-0.0016327159100864917,-1,0.0016327159100864917,0.0,-0.0016327159100864917,0.9931435269718074
2019-01-06 09:00:00+00:00,-3.710693157478443e-05,-1,3.710693157478443e-05,0.0,-3.710693157478443e-05,0.9931066744629081
2019-01-06 09:30:00+00:00,-0.00024413175652400465,0,-0.00045586824347599534,0.0004,-0.00024413175652400465,0.9928642255860557
2019-01-06 10:00:00+00:00,0.0,0,0.00027311537135728936,0.0,0.0,0.9928642255860557
2019-01-06 10:30:00+00:00,-0.0007,-1,0.006537073903926712,0.0004,-0.0007,0.9921692206281454
2019-01-06 11:00:00+00:00,-0.0022617633967959598,0,0.0015617633967959599,0.0004,-0.0022617633967959598,0.989925168601501
2019-01-06 11:30:00+00:00,-0.0007,1,0.002976660040179575,0.0004,-0.0007,0.98923222098348
2019-01-06 12:00:00+00:00,-0.0036284995175971148,0,-0.0029284995175971147,0.0004,-0.0036284995175971148,0.9856427923468498
